"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 1","0","0","0","0","0"
"June 2","0","0","0","0","0"
"June 3","0","0","0","0","0"
"June 4","1","0","0","0","0"
"June 5","1","0","0","0","0"
"June 6","0","0","0","0","0"
"June 7","0","0","0","0","0"
"June 8","0","0","0","0","0"
"June 9","1","0","0","0","0"
"June 10","1","2","0","0","0"
"June 11","0","0","0","0","0"
"June 12","2","0","0","0","0"
"June 13","4","0","0","0","0"
"June 14","3","0","0","0","0"
"June 15","0","0","0","0","0"
"June 16","0","0","0","0","0"
"June 17","0","0","0","0","0"
"June 18","0","0","0","0","0"
"June 19","1","0","0","0","0"
"June 20","719","6","31","0","0"
"June 21","30","0","1","0","0"
"June 22","51","2","6","0","0"
"June 23","68","1","5","0","1"
"June 24","39","0","5","0","0"
"June 25","53","0","11","0","1"
"June 26","63","0","6","1","0"
"June 27","12","0","0","0","0"
"June 28","2","0","0","0","0"
"June 29","9","1","2","0","0"
"June 30","0","0","0","0","0"
"July 1","1","0","0","0","0"
"July 2","1","0","0","0","0"
"July 3","2","0","0","0","0"
"July 4","3","0","0","0","0"
"July 5","0","0","0","0","0"
"July 6","6","0","0","0","0"
"July 7","1","0","0","0","0"
"July 8","1","0","0","0","0"
"July 9","1","0","0","0","0"
"July 10","0","0","0","0","0"
"July 11","1","0","0","0","0"
"July 12","1","1","0","0","0"
"July 13","1","0","0","0","0"
"July 14","1","0","0","0","0"
"July 15","0","0","0","0","0"
"July 16","1","0","0","0","0"
"July 17","0","0","0","0","0"
"July 18","0","0","0","0","0"
"July 19","0","0","0","0","0"
"July 20","1","0","0","0","0"
"July 21","0","0","0","0","0"
"July 22","0","0","0","0","0"
"July 23","0","0","0","0","0"
"July 24","1","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","1","0","0","0","0"
"July 28","0","0","0","0","0"
"July 29","38","0","1","0","0"
"July 30","715","7","37","0","0"
